NT,First,Follow
P',inicio,$
P,inicio,$
V,varinicio,"fim,leia,escreva,id,se,repita"
LV,"varfim,inteiro,real,literal","fim,leia,escreva,id,se,repita"
D,"inteiro,real,literal","varfim,inteiro,real,literal"
L,id,pt_v
TIPO,"inteiro,real,literal",id
A,"fim,leia,escreva,id,se,repita",$
ES,"leia,escreva","fim,leia,escreva,id,se,repita,fimse,fimrepita"
ARG,"lit,num,id",pt_v
CMD,id,"fim,leia,escreva,id,se,repita,fimse,fimrepita"
LD,"id,num",pt_v
OPRD,"id,num","opm,pt_v,opr,fc_p"
COND,se,"fim,leia,escreva,id,se,repita,fimse,fimrepita"
CAB,se,"leia,escreva,id,fimse,se"
EXP_R,"id,num",fc_p
CP,"leia,escreva,id,fimse,se","fim,leia,escreva,id,se,repita,fimse,fimrepita"
R,repita,"fim,leia,escreva,id,se,repita"
CABR,repita,"leia,escreva,id,fimrepita,se"
CPR,"leia,escreva,id,fimrepita,se","fim,leia,escreva,id,se,repita"